Student#,Class#,Exam1 Score,Exam2 Score,Exam3 Score,Final Score
1,1,69,89,105,82
2,1,23,26,30,85
3,1,73,28,12,55
4,1,40,34,63,105
5,1,44,26,21,24
6,1,67,55,44,76
7,1,47,51,61,97
8,1,88,38,74,106
9,1,73,61,33,64
10,1,43,64,61,52
11,1,62,53,77,85
12,1,78,73,82,81
13,1,69,32,28,56
14,1,48,41,19,0
15,1,43,28,15,77
16,1,34,50,8,0
17,1,45,0,35,47
18,1,64,42,31,45
19,1,65,25,0,0
20,1,60,24,25,41
21,1,44,50,48,63
22,1,50,44,14,92
23,1,82,74,103,65
24,1,79,40,87,104
25,1,64,45,75,79
26,1,17,10,0,0
27,1,89,83,84,85
28,1,73,53,72,90
29,2,75,61,68,91
30,2,70,71,74,104
31,2,82,64,92,62
32,2,75,44,82,61
33,2,70,81,81,70
34,2,40,66,101,96
35,2,50,37,68,73
36,2,15,32,36,75
37,2,49,59,78,35
38,2,89,73,110,107
39,2,48,43,75,70
40,2,80,85,73,100
41,2,19,26,47,29
42,2,79,66,83,97
43,2,32,42,24,39
44,2,79,62,86,63
45,2,52,44,24,21
46,2,49,52,60,100
47,2,48,36,49,0
48,2,69,46,0,75
49,2,23,40,35,0
50,2,60,29,45,77
51,2,50,81,75,80
52,2,34,20,0,0
53,2,73,72,67,47
54,2,54,40,69,79
55,2,60,46,92,100
56,2,70,87,80,81
57,2,38,60,57,68
